imdbId,genres,title
114709,Adventure,Toy Story
114709,Animation,Toy Story
114709,Children,Toy Story
114709,Comedy,Toy Story
114709,Fantasy,Toy Story
113497,Adventure,Jumanji
113497,Children,Jumanji
113497,Fantasy,Jumanji
113228,Comedy,Grumpier Old Men
113228,Romance,Grumpier Old Men
114885,Comedy,Waiting to Exhale
114885,Drama,Waiting to Exhale
114885,Romance,Waiting to Exhale
113041,Comedy,Father of the Bride Part II
113277,Action,Heat
113277,Crime,Heat
113277,Thriller,Heat
114319,Comedy,Sabrina
114319,Romance,Sabrina
112302,Adventure,Tom and Huck
112302,Children,Tom and Huck
114576,Action,Sudden Death
113189,Action,GoldenEye
113189,Adventure,GoldenEye
113189,Thriller,GoldenEye
112346,Comedy,"American President, The"
112346,Drama,"American President, The"
112346,Romance,"American President, The"
112896,Comedy,Dracula: Dead and Loving It
112896,Horror,Dracula: Dead and Loving It
112453,Adventure,Balto
112453,Animation,Balto
112453,Children,Balto
113987,Drama,Nixon
112760,Action,Cutthroat Island
112760,Adventure,Cutthroat Island
112760,Romance,Cutthroat Island
112641,Crime,Casino
112641,Drama,Casino
114388,Drama,Sense and Sensibility
114388,Romance,Sense and Sensibility
113101,Comedy,Four Rooms
112281,Comedy,Ace Ventura: When Nature Calls
113845,Action,Money Train
113845,Comedy,Money Train
113845,Crime,Money Train
113845,Drama,Money Train
113845,Thriller,Money Train
113161,Comedy,Get Shorty
113161,Crime,Get Shorty
113161,Thriller,Get Shorty
112722,Crime,Copycat
112722,Drama,Copycat
112722,Horror,Copycat
112722,Mystery,Copycat
112722,Thriller,Copycat
112401,Action,Assassins
112401,Crime,Assassins
112401,Thriller,Assassins
114168,Drama,Powder
114168,Sci-Fi,Powder
113627,Drama,Leaving Las Vegas
113627,Romance,Leaving Las Vegas
114057,Drama,Othello
114011,Children,Now and Then
114011,Drama,Now and Then
114117,Drama,Persuasion
114117,Romance,Persuasion
112682,Adventure,"City of Lost Children, The (Cit̩ des enfants perdus, La)"
112682,Drama,"City of Lost Children, The (Cit̩ des enfants perdus, La)"
112682,Fantasy,"City of Lost Children, The (Cit̩ des enfants perdus, La)"
112682,Mystery,"City of Lost Children, The (Cit̩ des enfants perdus, La)"
112682,Sci-Fi,"City of Lost Children, The (Cit̩ des enfants perdus, La)"
115012,Crime,Shanghai Triad (Yao a yao yao dao waipo qiao)
115012,Drama,Shanghai Triad (Yao a yao yao dao waipo qiao)
112792,Drama,Dangerous Minds
114746,Mystery,Twelve Monkeys (a.k.a. 12 Monkeys)
114746,Sci-Fi,Twelve Monkeys (a.k.a. 12 Monkeys)
114746,Thriller,Twelve Monkeys (a.k.a. 12 Monkeys)
114952,Adventure,Wings of Courage
114952,Romance,Wings of Courage
114952,IMAX,Wings of Courage
112431,Children,Babe
112431,Drama,Babe
112637,Drama,Carrington
112637,Romance,Carrington
112818,Crime,Dead Man Walking
112818,Drama,Dead Man Walking
112286,Documentary,Across the Sea of Time
112286,IMAX,Across the Sea of Time
113442,Children,It Takes Two
113442,Comedy,It Takes Two
112697,Comedy,Clueless
112697,Romance,Clueless
112749,Drama,"Cry, the Beloved Country"
114279,Drama,Richard III
114279,War,Richard III
112819,Action,Dead Presidents
112819,Crime,Dead Presidents
112819,Drama,Dead Presidents
114272,Drama,Restoration
113855,Action,Mortal Kombat
113855,Adventure,Mortal Kombat
113855,Fantasy,Mortal Kombat
114681,Comedy,To Die For
114681,Drama,To Die For
114681,Thriller,To Die For
113347,Drama,How to Make an American Quilt
113347,Romance,How to Make an American Quilt
114369,Mystery,Seven (a.k.a. Se7en)
114369,Thriller,Seven (a.k.a. Se7en)
114148,Animation,Pocahontas
114148,Children,Pocahontas
114148,Drama,Pocahontas
114148,Musical,Pocahontas
114148,Romance,Pocahontas
114916,Drama,When Night Is Falling
114916,Romance,When Night Is Falling
114814,Crime,"Usual Suspects, The"
114814,Mystery,"Usual Suspects, The"
114814,Thriller,"Usual Suspects, The"
109950,Action,Guardian Angel
109950,Drama,Guardian Angel
109950,Thriller,Guardian Angel
113819,Comedy,Mighty Aphrodite
113819,Drama,Mighty Aphrodite
113819,Romance,Mighty Aphrodite
110299,Adventure,Lamerica
110299,Drama,Lamerica
112499,Children,"Big Green, The"
112499,Comedy,"Big Green, The"
113158,Drama,Georgia
113541,Adventure,Kids of the Round Table
113541,Children,Kids of the Round Table
113541,Fantasy,Kids of the Round Table
113321,Drama,Home for the Holidays
110877,Comedy,"Postman, The (Postino, Il)"
110877,Drama,"Postman, The (Postino, Il)"
110877,Romance,"Postman, The (Postino, Il)"
112714,Drama,"Confessional, The (Confessionnal, Le)"
112714,Mystery,"Confessional, The (Confessionnal, Le)"
113419,Adventure,"Indian in the Cupboard, The"
113419,Children,"Indian in the Cupboard, The"
113419,Fantasy,"Indian in the Cupboard, The"
116260,Drama,Eye for an Eye
116260,Thriller,Eye for an Eye
113862,Drama,Mr. Holland's Opus
116126,Comedy,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
116126,Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
118002,Comedy,Two if by Sea
