imdbId,title
114709,Toy Story
113497,Jumanji
113228,Grumpier Old Men
114885,Waiting to Exhale
113041,Father of the Bride Part II
113277,Heat
114319,Sabrina
112302,Tom and Huck
114576,Sudden Death
113189,GoldenEye
112346,"American President, The"
112896,Dracula: Dead and Loving It
112453,Balto
113987,Nixon
112760,Cutthroat Island
112641,Casino
114388,Sense and Sensibility
113101,Four Rooms
112281,Ace Ventura: When Nature Calls
113845,Money Train
113161,Get Shorty
112722,Copycat
112401,Assassins
114168,Powder
113627,Leaving Las Vegas
114057,Othello
114011,Now and Then
114117,Persuasion
112682,"City of Lost Children, The (CitÃ© des enfants perdus, La)"
115012,Shanghai Triad (Yao a yao yao dao waipo qiao)
112792,Dangerous Minds
114746,Twelve Monkeys (a.k.a. 12 Monkeys)
114952,Wings of Courage
112431,Babe
112637,Carrington
112818,Dead Man Walking
112286,Across the Sea of Time
113442,It Takes Two
112697,Clueless
112749,"Cry, the Beloved Country"
114279,Richard III
112819,Dead Presidents
114272,Restoration
113855,Mortal Kombat
114681,To Die For
113347,How to Make an American Quilt
114369,Seven (a.k.a. Se7en)
114148,Pocahontas
114916,When Night Is Falling
114814,"Usual Suspects, The"
109950,Guardian Angel
113819,Mighty Aphrodite
110299,Lamerica
112499,"Big Green, The"
113158,Georgia
113541,Kids of the Round Table
113321,Home for the Holidays
110877,"Postman, The (Postino, Il)"
112714,"Confessional, The (Confessionnal, Le)"
113419,"Indian in the Cupboard, The"
116260,Eye for an Eye
113862,Mr. Holland's Opus
116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
118002,Two if by Sea
115683,Bio-Dome
116839,Lawnmower Man 2: Beyond Cyberspace
114753,Two Bits
113149,French Twist (Gazon maudit)
113118,Friday
116367,From Dusk Till Dawn
113010,Fair Game
113537,Kicking and Screaming
113828,"MisÃ©rables, Les"
115644,Bed of Roses
115676,Big Bully
114367,Screamers
113973,Nico Icon
112744,"Crossing Guard, The"
116731,"Juror, The"
112445,"White Balloon, The (Badkonake sefid)"
114660,Things to Do in Denver When You're Dead
112379,Antonia's Line (Antonia)
114039,Once Upon a Time... When We Were Colored
113612,Last Summer in the Hamptons
112365,Angels and Insects
118158,White Squall
116151,Dunston Checks In
115697,Black Sheep
113972,Nick of Time
113490,"Journey of August King, The"
117002,Mary Reilly
114825,Vampire in Brooklyn
115639,Beautiful Girls
115759,Broken Arrow
113403,In the Bleak Midwinter
113247,"Hate (Haine, La)"
111173,Shopping
113283,Heidi Fleiss: Hollywood Madam
115907,City Hall
115734,Bottle Rocket
117102,Mr. Wrong
118040,Unforgettable
116483,Happy Gilmore
112579,"Bridges of Madison County, The"
110251,Nobody Loves Me (Keiner liebt mich)
117110,Muppet Treasure Island
112646,Catwalk
113276,Headless Body in Topless Bar
112573,Braveheart
75314,Taxi Driver
113326,Rumble in the Bronx (Hont faan kui)
115645,Before and After
113774,Margaret's Museum
112556,"Happiness Is in the Field (Bonheur est dans le prÃ©, Le)"
112373,Anne Frank Remembered
115033,"Young Poisoner's Handbook, The"
116606,If Lucy Fell
114536,"Steal Big, Steal Little"
117427,Race the Sun
106473,"Boys of St. Vincent, The"
103859,Boomerang
109424,Chungking Express (Chung Hing sam lam)
114808,"Star Maker, The (Uomo delle stelle, L')"
116324,Flirting With Disaster
110647,"NeverEnding Story III, The"
111055,"Silences of the Palace, The (Saimt el Qusur)"
110217,Jupiter's Wife
114131,Pie in the Sky
112364,Angela
113107,Frankie Starlight
113451,Jade
114015,Nueba Yol
114500,Sonic Outlaws
116130,Down Periscope
113125,From the Journals of Jean Seberg
113756,Man of the Year
113952,"Neon Bible, The"
114618,Target
118055,Up Close and Personal
115685,"Birdcage, The"
94878,Shadows (Cienie)
113200,Gospa
112585,"Brothers McMullen, The"
112442,Bad Boys
112342,"Amazing Panda Adventure, The"
112461,"Basketball Diaries, The"
112427,"Awfully Big Adventure, An"
109093,Amateur
112384,Apollo 13
114287,Rob Roy
112288,"Addiction, The"
112462,Batman Forever
61395,Beauty of the Day (Belle de jour)
112495,Beyond Rangoon
112541,Blue in the Face
109370,Canadian Bacon
112642,Casper
112688,Clockers
112715,Congo
112740,Crimson Tide
109508,Crumb
112851,Desperado
112857,Devil in a Blue Dress
112864,Die Hard: With a Vengeance
112887,"Doom Generation, The"
113044,Feast of July
113071,First Knight
113114,Free Willy 2: The Adventure Home
113243,Hackers
113464,Jeffrey
113481,Johnny Mnemonic
113492,Judge Dredd
113500,Jury Duty
113540,Kids
113677,Living in Oblivion
113690,Lord of Illusions
107447,Love & Human Remains
113729,Mad Love
113749,Mallrats
113820,Mighty Morphin Power Rangers: The Movie
113851,Moonlight and Valentino
110604,Mute Witness
110620,Nadja
113957,"Net, The"
113986,Nine Months
114095,Party Girl
114194,"Prophecy, The"
114241,Reckless
114323,Safe
114345,"Scarlet Letter, The"
114435,"Show, The"
114436,Showgirls
114478,Smoke
114496,Something to Talk About
114508,Species
114534,"Stars Fell on Henrietta, The"
114558,Strange Days
58450,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)"
114666,"Tie That Binds, The"
114663,Three Wishes
114702,Total Eclipse
114682,"To Wong Foo, Thanks for Everything! Julie Newmar"
114781,Under Siege 2: Dark Territory
114798,Unstrung Heroes
114805,Unzipped
114887,"Walk in the Clouds, A"
114898,Waterworld
114928,White Man's Burden
114938,Wild Bill
109340,"Browning Version, The"
112602,Bushwhacked
111579,Burnt by the Sun (Utomlyonnye solntsem)
110882,Before the Rain (Pred dozhdot)
112471,Before Sunrise
112508,Billy Madison
112438,"Babysitter, The"
112571,Boys on the Side
112757,"Cure, The"
112643,Castle Freak
112679,Circle of Friends
109445,Clerks
112883,Don Juan DeMarco
109635,Disclosure
112899,Dream Man
109676,Drop Zone
112854,Destiny Turns on the Radio
109579,Death and the Maiden
109642,Dolores Claiborne
109686,Dumb & Dumber (Dumb and Dumber)
111797,Eat Drink Man Woman (Yin shi nan nu)
109759,Exotica
109758,Exit to Eden
109707,Ed Wood
113117,French Kiss
113097,Forget Paris
113028,Far From Home: The Adventures of Yellow Dog
113198,"Goofy Movie, A"
113303,Hideaway
113089,Fluke
109771,Farinelli: il castrato
113199,Gordy
113234,Gumby: The Movie
109906,"Glass Shield, The"
110057,Hoop Dreams
110005,Heavenly Creatures
110066,Houseguest
110116,Immortal Beloved
110006,Heavyweights (Heavy Weights)
113360,"Hunted, The"
110099,I.Q.
110148,Interview with the Vampire: The Vampire Chronicles
113463,Jefferson in Paris
110189,"Jerky Boys, The"
110216,Junior
113501,Just Cause
113538,"Kid in King Arthur's Court, A"
113552,Kiss of Death
76759,Star Wars: Episode IV - A New Hope
110367,Little Women
113670,"Little Princess, A"
110296,Ladybird Ladybird
109731,"Enfer, L'"
103994,Like Water for Chocolate (Como agua para chocolate)
110322,Legends of the Fall
110443,Major Payne
110365,Little Odessa
107566,My Crazy Life (Mi vida loca)
110391,Love Affair
113691,Losing Isaiah
110428,"Madness of King George, The"
109836,Mary Shelley's Frankenstein (Frankenstein)
113755,Man of the House
110538,Mixed Nuts
110516,Milk Money
110527,Miracle on 34th Street
113808,Miami Rhapsody
113896,My Family
113870,Murder in the First
110684,Nobody's Fool
110638,Nell
113967,New Jersey Drive
117169,New York Cop (NyÃ» YÃ´ku no koppu)
106402,Beyond Bedlam
113948,Nemesis 2: Nebula
110671,Nina Takes a Lover
110632,Natural Born Killers
110737,Only You
110729,Once Were Warriors
114151,Poison Ivy II
114069,Outbreak
110413,LÃ©on: The Professional (a.k.a. The Professional) (LÃ©on)
114113,"Perez Family, The"
114210,"Pyromaniac's Love Story, A"
110912,Pulp Fiction
114084,Panther
105652,Pushing Hands (Tui shou)
110889,Priest
110932,Quiz Show
114129,Picture Bride (Bijo photo)
110963,"Queen Margot (Reine Margot, La)"
114214,"Quick and the Dead, The"
114296,Roommates
110907,Ready to Wear (Pret-A-Porter)
111495,Three Colors: Red (Trois couleurs: Rouge)
108394,Three Colors: Blue (Trois couleurs: Bleu)
111507,Three Colors: White (Trzy kolory: Bialy)
110769,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng)"
114268,Rent-a-Kid
110965,Relative Fear
114571,Stuart Saves His Family
111333,"Swan Princess, The"
111112,"Secret of Roan Inish, The"
111255,"Specialist, The"
111282,Stargate
111070,"Santa Clause, The"
111161,"Shawshank Redemption, The"
111149,Shallow Grave
108260,Suture
106966,Strawberry and Chocolate (Fresa y chocolate)
114594,Swimming with Sharks
111309,"Sum of Us, The"
113936,National Lampoon's Senior Trip
110081,To Live (Huozhe)
114614,Tank Girl
114608,Tales from the Crypt Presents: Demon Knight
111280,Star Trek: Generations
114609,Tales from the Hood
111454,Tom & Viv
114852,Village of the Damned
114694,Tommy Boy
111590,Vanya on 42nd Street
114788,Underneath
114888,"Walking Dead, The"
108550,What's Eating Gilbert Grape
114857,Virtuosity
114924,While You Were Sleeping
111667,"War, The"
109655,Double Happiness
110598,Muriel's Wedding
112435,"Baby-Sitters Club, The"
109040,Ace Ventura: Pet Detective
109045,"Adventures of Priscilla, Queen of the Desert, The"
106339,Backbeat
104779,Bitter Moon
109348,Bullets Over Broadway
109444,Clear and Present Danger
109446,"Client, The"
109484,"Corrina, Corrina"
109504,Crooklyn
109506,"Crow, The"
109450,Cobb
109813,"Flintstones, The"
109830,Forrest Gump
109831,Four Weddings and a Funeral
113305,Higher Learning
110091,I Like It Like That
110093,I Love Trouble
110167,It Could Happen to You
110213,"Jungle Book, The"
107472,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)"
110357,"Lion King, The"
107426,Little Buddha
111686,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)"
110475,"Mask, The"
110478,Maverick
110588,Mrs. Parker and the Vicious Circle
110622,Naked Gun 33 1/3: The Final Insult
110771,"Paper, The"
110950,Reality Bites
105226,Red Rock West
110989,Richie Rich
111054,Safe Passage
110997,"River Wild, The"
111257,Speed
111256,Speechless
111438,Timecop
111503,True Lies
111693,When a Man Loves a Woman
111742,Wolf
111756,Wyatt Earp
112443,Bad Company
110455,"Man of No Importance, A"
111048,S.F.W.
110399,"Low Down Dirty Shame, A"
112570,Boys Life
109454,"Colonel Chabert, Le"
59170,Faster Pussycat! Kill! Kill!
110186,Jason's Lyric
108069,"Secret Adventures of Tom Thumb, The"
111301,Street Fighter
112702,Coldblooded
112849,Desert Winds
113014,Fall Time
113043,"Fear, The"
113104,Frank and Ollie
113173,Girl in the Cadillac
113319,Homage
113827,Mirage
114047,Open Season
112889,Two Crimes (Dos crÃ­menes)
109339,Brother Minister: The Assassination of Malcolm X
110027,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension)
109785,Federal Hill
113409,In the Mouth of Madness
109021,8 Seconds
109035,Above the Rim
106220,Addams Family Values
111804,Martin Lawrence: You So Crazy
106226,"Age of Innocence, The"
109068,Airheads
109067,"Air Up There, The"
106292,Another Stakeout
109198,Bad Girls
109219,Barcelona
106379,Being Human
106400,"Beverly Hillbillies, The"
109254,Beverly Hills Cop III
109279,Black Beauty
109297,Blink
109303,Blown Away
109305,Blue Chips
109306,Blue Sky
106452,Body Snatchers
106471,Boxing Helena
106489,"Bronx Tale, A"
109361,Cabin Boy
106505,Calendar Girl
106519,Carlito's Way
109439,City Slickers II: The Legend of Curly's Gold
109443,Clean Slate
106582,Cliffhanger
106598,Coneheads
109456,Color of Night
109480,Cops and Robbersons
109493,"Cowboy Way, The"
106660,Dangerous Game
106673,Dave
106677,Dazed and Confused
106697,Demolition Man
109729,"Endless Summer 2, The"
106834,Even Cowgirls Get the Blues
106873,Fatal Instinct
106332,Farewell My Concubine (Ba wang bie ji)
109783,"Favor, The"
106881,Fearless
106880,Fear of a Black Hat
111732,With Honors
106926,Flesh and Bone
111712,Widows' Peak
106941,For Love or Money
106918,"Firm, The"
106965,Free Willy
109842,Fresh
106977,"Fugitive, The"
107004,Geronimo: An American Legend
109890,"Getaway, The"
109891,Getting Even with Dad
109913,Go Fish
109920,"Good Man in Africa, A"
107057,Guilty as Sin
107076,Hard Target
107096,Heaven & Earth
107144,Hot Shots! Part Deux
113674,Live Nude Girls
112966,"Englishman Who Went Up a Hill But Came Down a Mountain, The"
107151,"House of the Spirits, The"
110064,House Party 3
110074,"Hudsucker Proxy, The"
110097,I'll Do Anything
110123,In the Army Now
107206,In the Line of Fire
107207,In the Name of the Father
110137,"Inkwell, The"
108551,What's Love Got to Do with It?
110197,Jimmy Hollywood
107286,Judgment Night
107290,Jurassic Park
107302,Kalifornia
110265,Killing Zoe
107322,King of the Hill
110305,Lassie
107362,Last Action Hero
107413,Life with Mikey
110353,Lightning Jack
107468,M. Butterfly
107478,Made in America
107497,Malice
107501,"Man Without a Face, The"
107507,Manhattan Murder Mystery
107554,Menace II Society
